År,Månednr,Ukenr,Dato,Ukedag,Selskapnr,Selskapnavn,Kundekategori_kd,Kundenr,Postnummer,Fylke,Rutenr,Parent Skift ID,Kjøreskift ID,Antall leveranser,Antall leveranser dagligvare,Antall leveranser SSH/service,Antall leveranser andre,Antall kunder,Antall leveranser i tidsvindu,Antall leveranser < 30 min før tidsvindu,Antall leveranser etter tidsvindu,Antall leveranser før tidsvindu,Leveringsvindu fra,Leveringsvindu til,Start Skanning,Start Levering,Stopp Levering,Antall dager for leveringen,Planlagt leveringstid (min),Leveringstid (min),Tidsforbruk kunde (min) pr.m3,Levert volum,Levert volum (m3),Volum Frukt og grønt,Volum Frukt og grønt - Egenprodusert,Volum Frukt og grønt - Ekstern Transitt,Volum Tørr,Volum Kjøl,Volum Frys,Vekt (kg),Leveringspresisjon utgående %,Leveringspresisjon før og i tidsvindu < 30 min før tidsvindu,Antall lastbærere skannet inn,Antall lastbærere skannet av,Antall lastbærere,Skannet inn på bil %,Skannet ut av bil %,Drivstofftype,Gyldig regnr flg,Ressursnavn (bil),Temperatur på bil (frys),Temperatur på bil (kjøl),KJEDESTYRING,FLESLAND_KATEGORI,delivery_delay_minutes
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,909408.0,4006.0,Rogaland,2152,5555088.0,5555089.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 08:00:00,2025-04-22 12:00:00,2025-04-22 11:53:12,2025-04-22 11:51:06,2025-04-22 12:13:11,0.0,25.78333333333333,22.08333333333333,8.519699345275573,2592.032,2.592032,0.0,0.0,0.0,1723.95,310.51,557.572,1093.401,1.0,1.0,4.0,4.0,4.0,1.0,1.0,GASS,Ja,GA13090,-20.9,3.0,,Eksterne grossister,-3.700000000000003
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,970822.0,4022.0,Rogaland,2154,5555026.0,5555027.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 07:00:00,2025-04-22 12:00:00,2025-04-22 11:36:20,2025-04-22 11:34:48,2025-04-22 11:51:41,0.0,16.9,16.883333333333333,5.644554522730236,2991.0834,2.9910834,0.0,0.0,0.0,1189.7936,575.7498,1225.54,1013.062,1.0,1.0,5.0,5.0,5.0,1.0,1.0,GASS,Ja,GA13091,-18.0,3.0,,Eksterne grossister,-0.0166666666666657
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,990457.0,4306.0,Rogaland,2126,5555124.0,5555125.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 08:00:00,2025-04-22 13:00:00,,2025-04-22 10:08:53,2025-04-22 10:09:09,0.0,12.2,0.2666666666666666,0.48219902041269,553.022,0.553022,0.0,0.0,0.0,0.0,553.022,0.0,170.24,1.0,1.0,2.0,0.0,2.0,1.0,0.0,GASS,Ja,GA12806,,2.0,,Eksterne grossister,-11.933333333333334
2025,4.0,17.0,2025-04-25,Fredag,64.0,ASKO ROGALAND AS,1,990457.0,4306.0,Rogaland,5155,5566366.0,5566367.0,1.0,1.0,,,1.0,1.0,,,,2025-04-25 07:00:00,2025-04-25 12:00:00,2025-04-25 10:41:42,2025-04-25 10:40:29,2025-04-25 11:10:12,0.0,21.53333333333333,29.716666666666665,6.200668776382489,4792.4938,4.7924938,0.0,0.0,0.0,2479.981,1000.4738,1312.039,1993.129,1.0,1.0,7.0,7.0,7.0,1.0,1.0,DIESEL,Ja,RL14306,-19.0,2.0,,Eksterne grossister,8.183333333333334
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,230243.0,4460.0,Rogaland,2142,5555082.0,5555083.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 08:00:00,2025-04-22 13:00:00,2025-04-22 11:44:04,2025-04-22 11:43:03,2025-04-22 11:59:55,0.0,18.35,16.866666666666667,5.699892760910902,2959.12,2.95912,2256.712,2193.712,63.0,426.185,0.0,276.223,779.757,1.0,1.0,6.0,6.0,6.0,1.0,1.0,ELEKTRISK,Ja,EJ26178,-19.0,3.0,,Eksterne grossister,-1.4833333333333345
2025,4.0,17.0,2025-04-25,Fredag,64.0,ASKO ROGALAND AS,1,230243.0,4460.0,Rogaland,5121,5566304.0,5566305.0,1.0,1.0,,,1.0,1.0,,,,2025-04-25 07:00:00,2025-04-25 10:45:00,2025-04-25 10:35:57,2025-04-25 10:35:37,2025-04-25 11:08:58,0.0,31.366666666666667,33.35,3.22270055194086,10348.4638,10.3484638,4074.736,2092.736,1982.0,3950.265,2323.4628,0.0,4091.159,1.0,1.0,14.0,14.0,14.0,1.0,1.0,DIESEL,Ja,RL42715,,2.0,,Eksterne grossister,1.9833333333333345
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,230706.0,5574.0,Rogaland,2133,5555074.0,5555075.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 07:00:00,2025-04-22 09:15:00,2025-04-22 07:43:16,2025-04-22 07:41:18,2025-04-22 08:35:36,0.0,50.11666666666667,54.3,3.874574030544117,14014.4438,14.0144438,8455.236,2695.236,5760.0,1676.544,1952.8108,1929.853,4070.282,1.0,1.0,17.0,17.0,17.0,1.0,1.0,DIESEL,Ja,RL39182,-22.0,2.0,,Eksterne grossister,4.18333333333333
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,230706.0,5574.0,Rogaland,2137,5555118.0,5555119.0,1.0,1.0,,,1.0,,1.0,,1.0,2025-04-22 07:00:00,2025-04-22 09:15:00,2025-04-22 06:51:23,2025-04-22 06:49:14,2025-04-22 06:56:28,0.0,17.816666666666666,7.233333333333333,2.4666670304148,2932.432,2.932432,1538.467,1538.467,0.0,1393.965,0.0,0.0,1177.854,,1.0,0.0,2.0,2.0,0.0,1.0,DIESEL,Ja,SD94393,-22.0,2.0,,Eksterne grossister,-10.583333333333332
2025,4.0,17.0,2025-04-25,Fredag,64.0,ASKO ROGALAND AS,1,230706.0,5574.0,Rogaland,5135,5566282.0,5566283.0,1.0,1.0,,,1.0,1.0,,,,2025-04-25 07:00:00,2025-04-25 10:00:00,2025-04-25 08:07:55,2025-04-25 08:06:15,2025-04-25 08:09:19,0.0,52.516666666666666,3.066666666666667,0.1697272774876868,18068.2016,18.0682016,5645.05,4625.05,1020.0,6683.667,3280.0076,2459.477,6294.846,1.0,1.0,22.0,23.0,23.0,0.9565217391304348,1.0,DIESEL,Ja,RL49550,,,,Eksterne grossister,-49.45
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,248401.0,4340.0,Rogaland,2033,5555108.0,5555109.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 07:00:00,2025-04-22 12:00:00,2025-04-22 08:53:18,2025-04-22 08:51:13,2025-04-22 09:17:17,0.0,24.516666666666666,26.066666666666663,3.0414985878928795,8570.3366,8.570336600000001,7315.609,3475.609,3840.0,231.427,1023.3006,0.0,2485.313,1.0,1.0,12.0,12.0,12.0,1.0,1.0,DIESEL,Ja,RK89397,,3.0,,Eksterne grossister,1.5499999999999972
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,248401.0,4340.0,Rogaland,2342,5555034.0,5555035.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 15:00:00,2025-04-22 22:00:00,2025-04-22 16:27:41,2025-04-22 16:27:18,2025-04-22 16:52:32,0.0,26.55,25.23333333333333,2.9183487651144064,8646.442,8.646441999999999,2423.409,2423.409,0.0,3217.253,879.261,2126.519,2172.652,1.0,1.0,11.0,11.0,11.0,1.0,1.0,GASS,Ja,GA12803,-23.0,3.0,,Eksterne grossister,-1.31666666666667
2025,4.0,17.0,2025-04-25,Fredag,64.0,ASKO ROGALAND AS,1,248401.0,4340.0,Rogaland,5342,5566296.0,5566297.0,1.0,1.0,,,1.0,1.0,,,,2025-04-25 15:00:00,2025-04-25 22:00:00,2025-04-25 16:36:59,2025-04-25 16:34:33,2025-04-25 16:51:32,0.0,27.566666666666663,16.983333333333334,2.0078085506982144,8458.6418,8.458641799999999,3230.93,3230.93,0.0,4026.883,1200.8288,0.0,2443.001,1.0,1.0,11.0,11.0,11.0,1.0,1.0,GASS,Ja,GA12803,-22.0,3.0,,Eksterne grossister,-10.583333333333329
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,250605.0,4380.0,Rogaland,2145,5555060.0,5555061.0,1.0,1.0,,,1.0,,,1.0,,2025-04-22 07:00:00,2025-04-22 12:00:00,2025-04-22 14:30:54,2025-04-22 14:28:35,2025-04-22 14:52:55,0.0,18.58333333333333,24.33333333333333,14.833821975685456,1640.3954,1.6403954,332.244,267.244,65.0,0.0,1308.1514,0.0,1014.223,,,7.0,7.0,7.0,1.0,1.0,GASS,Ja,GA13087,,,,Eksterne grossister,5.75
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,250605.0,4380.0,Rogaland,2328,5555032.0,5555033.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 15:00:00,2025-04-22 21:00:00,2025-04-22 17:19:54,2025-04-22 17:15:47,2025-04-22 17:48:09,0.0,30.0,32.36666666666667,4.0595053413725415,7973.0568,7.9730568,3049.478,3049.478,0.0,3618.7248,310.557,994.297,2594.033,1.0,1.0,14.0,14.0,14.0,1.0,1.0,DIESEL,Ja,RK89399,-18.0,4.0,,Eksterne grossister,2.366666666666667
2025,4.0,17.0,2025-04-25,Fredag,64.0,ASKO ROGALAND AS,1,250605.0,4380.0,Rogaland,5328,5566264.0,5566265.0,1.0,1.0,,,1.0,1.0,,,,2025-04-25 15:00:00,2025-04-25 21:00:00,2025-04-25 17:44:33,2025-04-25 17:38:06,2025-04-25 19:46:33,0.0,36.65,128.45,14.471973077826226,8875.7766,8.8757766,1323.378,1323.378,0.0,5920.123,1350.5896,281.686,2760.472,1.0,1.0,14.0,14.0,14.0,1.0,1.0,DIESEL,Ja,RK89397,-18.0,4.0,,Eksterne grossister,91.79999999999998
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,275412.0,4120.0,Rogaland,2140,5555012.0,5555013.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 07:00:00,2025-04-22 10:00:00,2025-04-22 07:50:30,2025-04-22 07:47:17,2025-04-22 08:05:42,0.0,28.416666666666668,18.416666666666668,1.7665713440756476,10425.0908,10.4250908,3230.122,3230.122,0.0,5801.328,1393.6408,0.0,3858.506,1.0,1.0,15.0,15.0,15.0,1.0,1.0,ELEKTRISK,Ja,EH92686,,3.0,,Eksterne grossister,-10.0
2025,4.0,17.0,2025-04-25,Fredag,64.0,ASKO ROGALAND AS,1,275412.0,4120.0,Rogaland,5140,5566248.0,5566249.0,1.0,1.0,,,1.0,1.0,,,,2025-04-25 07:00:00,2025-04-25 10:00:00,2025-04-25 08:26:57,2025-04-25 08:26:48,2025-04-25 08:49:43,0.0,25.133333333333333,22.916666666666668,2.54271163793384,9012.688,9.012688,6179.03,3299.03,2880.0,0.0,975.646,1858.012,2365.42,1.0,1.0,10.0,10.0,10.0,1.0,1.0,ELEKTRISK,Ja,EH92686,-21.0,3.0,,Eksterne grossister,-2.216666666666665
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,328294.0,5529.0,Rogaland,2131,5555112.0,5555113.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 07:00:00,2025-04-22 12:00:00,2025-04-22 11:46:39,2025-04-22 11:46:33,2025-04-22 12:08:04,0.0,17.95,21.516666666666666,5.529976309598624,3890.9148,3.8909148,3075.493,195.493,2880.0,0.0,815.4218,0.0,1080.532,1.0,1.0,6.0,6.0,6.0,1.0,1.0,DIESEL,Ja,RL33082,,,,Eksterne grossister,3.5666666666666664
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,328294.0,5529.0,Rogaland,2323,5555100.0,5555101.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 16:00:00,2025-04-22 22:00:00,2025-04-22 18:35:22,2025-04-22 18:33:42,2025-04-22 18:57:54,0.0,20.316666666666663,24.2,5.617929273056203,4307.637,4.307637,1364.818,1364.818,0.0,1441.477,544.483,956.859,1272.331,1.0,1.0,6.0,6.0,6.0,1.0,1.0,GASS,Ja,GA13089,-22.0,4.0,,Eksterne grossister,3.883333333333336
2025,4.0,17.0,2025-04-25,Fredag,64.0,ASKO ROGALAND AS,1,328294.0,5529.0,Rogaland,5139,5566284.0,5566285.0,1.0,1.0,,,1.0,1.0,,,,2025-04-25 06:01:32,2025-04-25 16:01:32,,2025-04-25 10:39:02,2025-04-25 10:39:27,0.0,12.466666666666669,0.4166666666666667,0.9448352282948672,440.994,0.440994,0.0,0.0,0.0,440.994,0.0,0.0,229.214,1.0,1.0,0.0,0.0,1.0,0.0,0.0,GASS,Ja,GA12805,-22.0,4.0,,Eksterne grossister,-12.050000000000002
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,359604.0,4083.0,Rogaland,2124,5555006.0,5555007.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 07:00:00,2025-04-22 12:00:00,2025-04-22 10:15:29,2025-04-22 10:14:57,2025-04-22 10:26:23,0.0,19.33333333333333,11.433333333333334,1.6744116259114878,6828.2692,6.828269199999999,4766.256,4766.256,0.0,0.0,2062.0132,0.0,2559.962,1.0,1.0,11.0,11.0,11.0,1.0,1.0,GASS,Ja,GA12802,,4.0,,Eksterne grossister,-7.899999999999995
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,359604.0,4083.0,Rogaland,2392,5555070.0,5555071.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 15:00:00,2025-04-22 19:00:00,2025-04-22 16:12:10,2025-04-22 16:09:03,2025-04-22 16:34:24,0.0,24.83333333333333,25.35,1.8148612176700727,13968.0102,13.9680102,2889.833,2889.833,0.0,6018.5842,1819.837,3239.756,4799.786,1.0,1.0,17.0,17.0,17.0,1.0,1.0,GASS,Ja,GA12366,-23.0,3.0,,Eksterne grossister,0.5166666666666728
2025,4.0,17.0,2025-04-25,Fredag,64.0,ASKO ROGALAND AS,1,359604.0,4083.0,Rogaland,5392,5566360.0,5566361.0,1.0,1.0,,,1.0,1.0,,,,2025-04-25 15:00:00,2025-04-25 19:00:00,2025-04-25 15:02:17,2025-04-25 14:57:41,2025-04-25 15:15:15,0.0,20.866666666666667,17.566666666666666,2.148611577798788,8175.8224,8.1758224,3259.092,3259.092,0.0,2094.783,2821.9474,0.0,3305.813,1.0,1.0,14.0,14.0,14.0,1.0,1.0,ELEKTRISK,Ja,EJ26178,,3.0,,Eksterne grossister,-3.3000000000000007
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,367813.0,4056.0,Rogaland,2122,5555110.0,5555111.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 07:00:00,2025-04-22 10:00:00,2025-04-22 07:53:18,2025-04-22 07:52:17,2025-04-22 08:45:09,0.0,42.15,52.86666666666667,2.824413275245304,18717.7518,18.7177518,5398.161,5398.161,0.0,6468.954,3004.4478,3846.189,6022.211,1.0,1.0,23.0,23.0,23.0,1.0,1.0,GASS,Ja,GA12125,-19.0,3.0,,Eksterne grossister,10.716666666666669
2025,4.0,17.0,2025-04-25,Fredag,64.0,ASKO ROGALAND AS,1,367813.0,4056.0,Rogaland,5127,5566272.0,5566273.0,1.0,1.0,,,1.0,1.0,,,,2025-04-25 07:00:00,2025-04-25 10:00:00,2025-04-25 07:54:34,2025-04-25 07:52:52,2025-04-25 08:18:24,0.0,36.93333333333333,25.53333333333333,2.1839268650676984,11691.4782,11.6914782,2303.696,2303.696,0.0,4357.632,5030.1502,0.0,4563.041,1.0,1.0,13.0,14.0,14.0,0.9285714285714286,1.0,GASS,Ja,GA12803,-21.0,3.0,,Eksterne grossister,-11.4
2025,4.0,17.0,2025-04-25,Fredag,64.0,ASKO ROGALAND AS,1,367813.0,4056.0,Rogaland,5150,5566252.0,5566253.0,1.0,1.0,,,1.0,1.0,,,,2025-04-25 07:00:00,2025-04-25 10:00:00,2025-04-25 08:55:24,2025-04-25 08:52:33,2025-04-25 09:01:02,0.0,13.366666666666667,8.483333333333333,3.251018066846296,2609.439,2.609439,0.0,0.0,0.0,2609.439,0.0,0.0,616.752,1.0,1.0,0.0,2.0,2.0,0.0,1.0,GASS,Ja,GA12366,-21.0,3.0,,Eksterne grossister,-4.883333333333335
2025,4.0,17.0,2025-04-25,Fredag,64.0,ASKO ROGALAND AS,1,367813.0,4056.0,Rogaland,991,5572219.0,5572220.0,1.0,1.0,,,1.0,,,1.0,,2025-04-25 07:00:00,2025-04-25 10:00:00,,2025-04-25 12:13:30,2025-04-25 12:13:45,0.0,12.233333333333333,0.25,0.1435247379238285,1741.86,1.74186,0.0,0.0,0.0,1741.86,0.0,0.0,348.186,,,0.0,0.0,3.0,0.0,0.0,GASS,Ja,GA12126,-21.0,3.0,,Eksterne grossister,-11.983333333333333
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,373670.0,4073.0,Rogaland,2493,5555068.0,5555069.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 18:00:00,2025-04-22 23:00:00,2025-04-22 20:01:42,2025-04-22 20:00:02,2025-04-22 20:34:10,0.0,53.65,34.13333333333333,1.2419590579706583,27483.461,27.483461,11390.068,3710.068,7680.0,14213.395,426.276,1453.722,8043.304,1.0,1.0,33.0,33.0,33.0,1.0,1.0,ELEKTRISK,Ja,EH92686,-23.0,3.0,,Eksterne grossister,-19.516666666666666
2025,4.0,17.0,2025-04-25,Fredag,64.0,ASKO ROGALAND AS,1,373670.0,4073.0,Rogaland,5493,5566358.0,5566359.0,1.0,1.0,,,1.0,,,,1.0,2025-04-25 20:00:00,2025-04-25 22:00:00,2025-04-25 19:07:06,2025-04-25 19:06:58,2025-04-25 19:41:55,0.0,47.11666666666667,34.95,1.8075589290587275,19335.4692,19.3354692,3811.665,3811.665,0.0,8422.534,5318.1472,1783.123,7048.673,,,24.0,24.0,24.0,1.0,1.0,ELEKTRISK,Ja,EH92686,-23.0,3.0,,Eksterne grossister,-12.166666666666664
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,375204.0,4048.0,Rogaland,2127,5555018.0,5555019.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 07:00:00,2025-04-22 08:45:00,2025-04-22 08:04:27,2025-04-22 07:58:44,2025-04-22 08:54:11,0.0,49.4,55.45,2.848001282971933,19469.7946,19.4697946,3909.793,3909.793,0.0,9019.472,3760.4046,2780.125,6684.788,1.0,1.0,23.0,23.0,23.0,1.0,1.0,GASS,Ja,GA12803,-19.0,3.0,,Eksterne grossister,6.050000000000004
2025,4.0,17.0,2025-04-25,Fredag,64.0,ASKO ROGALAND AS,1,375204.0,4048.0,Rogaland,5143,5566250.0,5566251.0,1.0,1.0,,,1.0,1.0,,,,2025-04-25 07:00:00,2025-04-25 10:30:00,2025-04-25 07:36:52,2025-04-25 07:34:10,2025-04-25 08:38:56,0.0,75.0,64.76666666666667,2.071022288962221,31272.8004,31.2728004,4612.161,4551.161,61.0,18398.3066,5750.5578,2511.775,9366.292,1.0,1.0,35.0,35.0,35.0,1.0,1.0,GASS,Ja,GA12125,-19.0,3.0,,Eksterne grossister,-10.233333333333334
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,376228.0,5420.0,Hordaland,2130,5555076.0,5555077.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 07:00:00,2025-04-22 12:00:00,2025-04-22 10:32:39,2025-04-22 10:31:10,2025-04-22 10:47:50,0.0,17.6,16.666666666666668,2.426232605501401,6869.3606,6.8693606,5878.22,118.22,5760.0,0.0,991.1406,0.0,2011.068,1.0,1.0,12.0,12.0,12.0,1.0,1.0,DIESEL,Ja,RL47300,,3.0,,Eksterne grossister,-0.9333333333333336
2025,4.0,17.0,2025-04-22,Tirsdag,64.0,ASKO ROGALAND AS,1,376228.0,5420.0,Hordaland,2324,5555138.0,5555139.0,1.0,1.0,,,1.0,1.0,,,,2025-04-22 17:00:00,2025-04-22 22:30:00,2025-04-22 20:13:12,2025-04-22 20:12:56,2025-04-22 20:38:54,0.0,24.05,25.966666666666665,2.738904380164878,9480.6766,9.4806766,2747.213,2747.213,0.0,6292.3306,441.133,0.0,3327.967,1.0,1.0,15.0,15.0,15.0,1.0,1.0,DIESEL,Ja,RL49551,-20.0,2.0,,Eksterne grossister,1.9166666666666643
